name,ticker,asset_class,source,data_type,role,bkiq_category,bkiq_asset_class_label
EQ | US (Nasdaq 100),QQQ,EQ,Yahoo Finance,tradeable,"fragility composite (vol, dd, cvar, trend, corr, volz pillars)",EQ_US,EQ Growth
EQ | US (Russell 2000),IWM,EQ,Yahoo Finance,tradeable,"fragility composite (vol, dd, cvar, trend, corr, volz pillars)",EQ_US,EQ Growth
EQ | US (S&P 500),SPY,EQ,Yahoo Finance,tradeable,"fragility composite (vol, dd, cvar, trend, corr, volz pillars)",EQ_US,EQ Growth
EQ | World (ACWI),ACWI,EQ,Yahoo Finance,tradeable,"fragility composite (vol, dd, cvar, trend, corr, volz pillars)",EQ_US,EQ Growth
EQ | US Energy Sector,XLE,EQ,Yahoo Finance,tradeable,"fragility composite (vol, dd, cvar, trend, corr, volz pillars)",EQ_SECT,EQ Defensive
EQ | US Financials Sector,XLF,EQ,Yahoo Finance,tradeable,"fragility composite (vol, dd, cvar, trend, corr, volz pillars)",EQ_SECT,EQ Growth
EQ | Real Estate (REITs),VNQ,EQ,Yahoo Finance,tradeable,"fragility composite (vol, dd, cvar, trend, corr, volz pillars)",EQ_SECT,Real Assets
EQ | Utilities,XLU,EQ,Yahoo Finance,tradeable,"fragility composite (vol, dd, cvar, trend, corr, volz pillars)",EQ_SECT,EQ Defensive
EQ | US Healthcare Sector,XLV,EQ,Yahoo Finance,tradeable,"fragility composite (vol, dd, cvar, trend, corr, volz pillars)",EQ_SECT,EQ Defensive
EQ | US Tech Sector,XLK,EQ,Yahoo Finance,tradeable,"fragility composite (vol, dd, cvar, trend, corr, volz pillars)",EQ_SECT,EQ Growth
EQ | Consumer Staples,XLP,EQ,Yahoo Finance,tradeable,"fragility composite (vol, dd, cvar, trend, corr, volz pillars)",EQ_SECT,EQ Defensive
EQ | Consumer Discretionary,XLY,EQ,Yahoo Finance,tradeable,"fragility composite (vol, dd, cvar, trend, corr, volz pillars)",EQ_SECT,EQ Growth
