Date,QQQ,IWM,SPY,ACWI,XLE,XLF,VNQ,XLU,XLV,XLK,XLP,XLY,XLI,XLB,XLC,EWA,EFA,EZU,EWG,EWJ,EWS,EWU,FLGB,GURU,ARKK,SKYY,ICLN,GRID,EWZ,FXI,EEM,INDA,EWY,EZA,EWT,EWW,EIDO,VNM,KSA,AAXJ,EWH,VPL,CNYA,ASEA,THD,EPHE,XAR,ITA,BIL,EMLC,EMB,HYG,LQD,BKLN,SHY,TLT,IEF,AGG,TIP,MUB,CWB,VCSH,PFF,HYD,BNDW,IHY,IGIB,BNDX,IGOV,DBA,DBC,COPX,GLD,UNG,SLV,BNO,PPLT,URA,WEAT,LIT,VALE,CORN,SOYB,PALL,CPER,BTC-USD,ETH-USD,SOL-USD,AUDUSD=X,EURUSD=X,GBPUSD=X,DX-Y.NYB,CHF=X,JPY=X,SGD=X,CAD=X,MXN=X,KRW=X,BRL=X,VXX,VIXY,IFRA,PSP,AMLP,REET,BCI,PDBC,KBWY
2019-10-15,23234200.0,16801200.0,46754500.0,2847400.0,22170000.0,65130200.0,3218500.0,31726600.0,12607900.0,16205800.0,12217700.0,5111000.0,8973800.0,9787600.0,2105200.0,1329400.0,24932600.0,6671600.0,3207000.0,8740600.0,301200.0,7800900.0,8400.0,3700.0,175500.0,189400.0,878300.0,2100.0,17852000.0,21666000.0,50663000.0,5026300.0,5156800.0,247000.0,3108500.0,1856700.0,696700.0,225300.0,353400.0,2018400.0,5259400.0,329500.0,17600.0,3000.0,139700.0,175200.0,63000.0,138200.0,1621300.0,1022400.0,2325400.0,26321500.0,13199100.0,4931900.0,2470000.0,11832300.0,6638500.0,4168600.0,1165000.0,388200.0,379200.0,1362700.0,5337700.0,302300.0,24200.0,4600.0,549200.0,2285900.0,1051700.0,285200.0,1054800.0,16900.0,9128300.0,1037150.0,19735000.0,649700.0,735000.0,41900.0,10980.0,41700.0,18703300.0,32100.0,44900.0,153000.0,2600.0,15220412632.0,7731456579.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685845.0,55036.0,500.0,40180.0,2145820.0,159500.0,18300.0,372800.0,29800.0
2019-10-16,20457100.0,13119100.0,48928200.0,2983200.0,23910600.0,44595200.0,3413900.0,32355000.0,7851500.0,20066000.0,10397700.0,6145600.0,8786300.0,7689200.0,2285200.0,2728000.0,28518700.0,4019400.0,3877000.0,4158800.0,358500.0,3622900.0,3000.0,2900.0,188400.0,182500.0,345400.0,6800.0,29023100.0,15713800.0,40768400.0,3489000.0,2047800.0,185000.0,4422700.0,2610900.0,1027900.0,174500.0,396600.0,607300.0,3764600.0,440400.0,188400.0,3500.0,169300.0,178700.0,76300.0,234400.0,1620400.0,1875800.0,2079100.0,11813000.0,7793500.0,3253600.0,1840700.0,7729500.0,2755500.0,2430600.0,981200.0,584600.0,419600.0,1175400.0,3815400.0,524800.0,219700.0,8000.0,545200.0,1367400.0,105400.0,327200.0,599200.0,9800.0,10330300.0,729625.0,15305800.0,605600.0,1568000.0,31600.0,7260.0,222200.0,22808100.0,31800.0,64300.0,201500.0,3200.0,16071646996.0,7691244590.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442189.0,33560.0,800.0,17800.0,2318500.0,150200.0,17600.0,454400.0,27000.0
2019-10-17,19045200.0,13175800.0,45736600.0,1954200.0,22616200.0,32013600.0,3223100.0,25999600.0,7536100.0,13731800.0,13209800.0,4612000.0,7976200.0,6221000.0,2037200.0,1187000.0,26853900.0,3807500.0,1884400.0,4833600.0,208300.0,6692600.0,80200.0,2000.0,154200.0,168000.0,216200.0,3600.0,23602000.0,16158500.0,56380200.0,5877100.0,1758900.0,251300.0,3088100.0,1617500.0,592200.0,92100.0,591900.0,693100.0,3025500.0,311400.0,11600.0,1300.0,160200.0,313700.0,97700.0,146200.0,1350600.0,1554500.0,1922000.0,14814300.0,5795300.0,3572100.0,1641200.0,6219300.0,3188700.0,2316400.0,1122200.0,554300.0,420600.0,1585900.0,3304000.0,266300.0,6200.0,35400.0,1209700.0,2481400.0,61800.0,111300.0,1415700.0,17100.0,6131000.0,495925.0,14232300.0,471200.0,508000.0,92800.0,15880.0,105100.0,14801700.0,36300.0,23700.0,120500.0,400.0,14313052244.0,6737237423.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403184.0,33550.0,600.0,23180.0,3096520.0,291000.0,19900.0,844900.0,24800.0
2019-10-18,27700800.0,14490200.0,64304000.0,1509800.0,20555600.0,40523700.0,2492100.0,29105800.0,6784700.0,17452600.0,9301200.0,4069600.0,9694500.0,6164200.0,1958200.0,1786200.0,21446100.0,5113200.0,2767300.0,5311200.0,741600.0,3730700.0,5900.0,2300.0,161500.0,280200.0,308400.0,600.0,21746900.0,25353200.0,78858900.0,4462400.0,2375000.0,265100.0,3699900.0,2449300.0,623600.0,92900.0,1170500.0,559500.0,4534000.0,305300.0,4700.0,0.0,129100.0,120500.0,146100.0,418400.0,3141500.0,2912800.0,1463400.0,21363700.0,5978200.0,4300900.0,1901600.0,6456100.0,2406400.0,1454200.0,525000.0,370900.0,303200.0,1867100.0,2503900.0,153300.0,12500.0,13000.0,975100.0,1447700.0,46100.0,116100.0,1001200.0,30300.0,6416100.0,576475.0,15861600.0,506300.0,405000.0,62500.0,16760.0,110500.0,13181400.0,35400.0,17500.0,43000.0,11000.0,15651592610.0,7566257807.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508502.0,37070.0,400.0,34000.0,2829460.0,291000.0,5700.0,440300.0,41400.0
2019-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13797825640.0,6551453871.0,,,,,,,,,,,,,,,,,,,,,
2019-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15504249442.0,6801091120.0,,,,,,,,,,,,,,,,,,,,,
2019-10-21,15801200.0,17450300.0,39048600.0,860600.0,20948000.0,44145400.0,2591900.0,22924800.0,4948400.0,12678600.0,9924100.0,4506200.0,8419400.0,5849800.0,1425400.0,1075700.0,29016200.0,9994200.0,7154100.0,4249500.0,480100.0,2344600.0,1900.0,3200.0,151100.0,217400.0,250700.0,14700.0,22276400.0,18633300.0,38432200.0,4514100.0,2386300.0,252700.0,3672300.0,2244400.0,531800.0,126100.0,430400.0,528600.0,5101100.0,206900.0,13000.0,4400.0,125300.0,102800.0,129800.0,589400.0,820500.0,561500.0,3033400.0,10090400.0,6457700.0,14308200.0,985500.0,8038000.0,1735300.0,4241600.0,1151000.0,378100.0,528400.0,1139900.0,2470300.0,372300.0,13900.0,6300.0,409400.0,1001900.0,48500.0,168000.0,726300.0,35900.0,8306200.0,1201275.0,17748700.0,388700.0,695000.0,44000.0,37780.0,57500.0,9959600.0,26500.0,15900.0,44500.0,1800.0,15868748866.0,6815820627.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284736.0,25143.0,0.0,10340.0,2220460.0,178600.0,11300.0,357400.0,435300.0
2019-10-22,22392300.0,12471800.0,48594700.0,1683500.0,39393800.0,50423000.0,2644200.0,31182600.0,8702400.0,18916000.0,12492500.0,5203600.0,11351500.0,8107000.0,2433600.0,2142300.0,21293000.0,7868300.0,3215000.0,6971300.0,431700.0,5607500.0,3300.0,3200.0,186700.0,107700.0,255600.0,1400.0,32731600.0,15966400.0,53409500.0,5097800.0,4283100.0,264300.0,5200300.0,2351700.0,810200.0,124000.0,471600.0,835400.0,5460600.0,419500.0,197800.0,2200.0,334700.0,161700.0,200100.0,253600.0,1818900.0,1357600.0,2694700.0,15464300.0,5820000.0,10493100.0,1192300.0,6683300.0,3334400.0,2147400.0,1075700.0,668800.0,534800.0,1011100.0,3196900.0,724500.0,8800.0,57400.0,610700.0,1114200.0,45300.0,96900.0,2162300.0,16900.0,3879700.0,536125.0,12066000.0,601100.0,386000.0,35400.0,9420.0,50800.0,17331100.0,33600.0,30200.0,84500.0,1900.0,16803377857.0,6990951966.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315038.0,24161.0,2000.0,28600.0,2561440.0,172600.0,28900.0,1461300.0,51900.0
2019-10-23,14828400.0,8728000.0,34352200.0,2133100.0,23640800.0,30615400.0,3020200.0,25821800.0,5525000.0,17617000.0,7499400.0,3773800.0,7370300.0,7993000.0,1958500.0,622700.0,14206200.0,4283700.0,1561700.0,7897800.0,367700.0,2423800.0,3200.0,2100.0,142200.0,102300.0,183200.0,2000.0,30147500.0,16021700.0,43342700.0,2676400.0,2127300.0,324800.0,3091900.0,1553800.0,731400.0,99000.0,475500.0,373200.0,3903900.0,282200.0,31400.0,4400.0,68900.0,160200.0,77100.0,321000.0,707600.0,565400.0,2369400.0,9097500.0,4986100.0,4197300.0,1578600.0,5995400.0,3305600.0,1887800.0,946600.0,451200.0,627800.0,1153200.0,3155400.0,615900.0,13600.0,9100.0,719100.0,1053300.0,128300.0,445500.0,843700.0,10800.0,4155300.0,543575.0,8500100.0,498900.0,949000.0,66200.0,42940.0,60600.0,13323000.0,42800.0,9600.0,144000.0,1600.0,21942878958.0,9624925919.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275986.0,17153.0,300.0,5940.0,2556740.0,189800.0,6100.0,525100.0,54500.0
2019-10-24,18998500.0,9091400.0,35453100.0,1295200.0,24233600.0,33469600.0,3148800.0,22922400.0,6892300.0,14508200.0,9089300.0,4405200.0,8355700.0,9324600.0,2444800.0,1718400.0,23429100.0,3687000.0,5276400.0,4448500.0,453300.0,2554400.0,7900.0,1300.0,239600.0,184700.0,179000.0,2600.0,18791200.0,14110000.0,61391900.0,3603800.0,2052500.0,344000.0,3474200.0,1962500.0,1007200.0,606000.0,352300.0,706300.0,4642500.0,371200.0,325500.0,900.0,226500.0,68000.0,69100.0,282000.0,734400.0,1325800.0,1706400.0,14832800.0,9154900.0,3671800.0,1228600.0,6161700.0,2645400.0,1725800.0,928100.0,498900.0,633500.0,1307200.0,2324000.0,338500.0,9300.0,2600.0,521300.0,1212600.0,128600.0,82500.0,626800.0,30300.0,6174800.0,586500.0,14917400.0,315400.0,1076000.0,121500.0,7260.0,188500.0,19610100.0,39400.0,16100.0,81500.0,5800.0,16268708849.0,7300917537.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389172.0,27205.0,3300.0,12500.0,2924500.0,175100.0,16200.0,3782100.0,27600.0
